source,title,content,language,collected_at,clean_content,tokens
VNExpress,Ông Trần Sỹ Thanh và nhiều Bộ trưởng được giới thiệu ứng cử đại biểu Quốc hội khóa 16,"Chủ nhiệm Ủy ban Kiểm tra Trung ương Trần Sỹ Thanh và Bộ trưởng Tài chính, Nông nghiệp và Môi trường... được cử tri nơi công tác giới thiệu ứng cử đại biểu Quốc hội khóa 16, với tỷ lệ tán thành tuyệt đối.",vi,2026-01-16 22:11:03.226363,chủ nhiệm ủy ban kiểm tra trung ương trần sỹ thanh và bộ trưởng tài chính nông nghiệp và môi trường được cử tri nơi công tác giới thiệu ứng cử đại biểu quốc hội khóa với tỷ lệ tán thành tuyệt đối,chủ_nhiệm ủy ban kiểm_tra trung_ương trần_sỹ_thanh và bộ_trưởng tài_chính nông_nghiệp và môi_trường được cử_tri nơi công_tác giới_thiệu ứng_cử đại_biểu quốc_hội khóa với tỷ_lệ tán_thành tuyệt_đối
VNExpress,Hà Nội bắt đầu xử phạt vi phạm trật tự đô thị qua camera AI,"Không chỉ “phạt nguội” trong lĩnh vực trật tự an toàn giao thông, Công an TP Hà Nội mở rộng hệ thống camera AI để xử phạt các hành vi vi phạm trật tự đô thị.",vi,2026-01-16 22:11:03.226405,không chỉ phạt nguội trong lĩnh vực trật tự an toàn giao thông công an tp hà nội mở rộng hệ thống camera ai để xử phạt các hành vi vi phạm trật tự đô thị,không_chỉ phạt nguội trong lĩnh_vực trật_tự an_toàn giao_thông công_an tp hà_nội mở_rộng hệ_thống camera ai để xử_phạt các hành_vi vi_phạm trật_tự đô_thị
VNExpress,Thủ tướng: Chiến dịch Quang Trung chiến thắng giòn giã,"Lãnh đạo Chính phủ khẳng định chiến dịch Quang Trung xây mới, sửa nhà cho người dân bị ảnh hưởng bởi thiên tai, đến nay đã chiến thắng giòn giã.",vi,2026-01-16 22:11:03.226435,lãnh đạo chính phủ khẳng định chiến dịch quang trung xây mới sửa nhà cho người dân bị ảnh hưởng bởi thiên tai đến nay đã chiến thắng giòn giã,lãnh_đạo chính_phủ khẳng_định chiến_dịch quang_trung_xây mới sửa nhà cho người_dân bị ảnh_hưởng bởi thiên_tai đến nay đã chiến_thắng giòn_giã
VNExpress,Ra mắt ứng dụng Tuyên giáo và Dân vận,"Ứng dụng Tuyên giáo và Dân vận trên điện thoại thông minh nhằm tuyên truyền chính sách, chủ trương của Đảng và hỗ trợ chính quyền nắm bắt kịp thời dư luận xã hội.",vi,2026-01-16 22:11:03.226464,ứng dụng tuyên giáo và dân vận trên điện thoại thông minh nhằm tuyên truyền chính sách chủ trương của đảng và hỗ trợ chính quyền nắm bắt kịp thời dư luận xã hội,ứng_dụng tuyên_giáo và dân_vận trên điện_thoại thông_minh nhằm tuyên_truyền chính_sách chủ_trương của đảng và hỗ_trợ chính_quyền nắm_bắt kịp_thời dư_luận xã_hội
VNExpress,"Cháy ở chung cư 5 tầng, hai người được giải cứu","Nghệ AnLửa bùng lên tại phòng ngủ căn hộ tầng 2 chung cư Tân Hợp, phường Trường Vinh, khiến nhiều người tháo chạy, hai nạn nhân được cứu, sáng 16/1.",vi,2026-01-16 22:11:03.226493,nghệ anlửa bùng lên tại phòng ngủ căn hộ tầng chung cư tân hợp phường trường vinh khiến nhiều người tháo chạy hai nạn nhân được cứu sáng,nghệ anlửa bùng lên tại phòng ngủ căn_hộ tầng chung_cư tân_hợp phường trường_vinh khiến nhiều người tháo_chạy hai nạn_nhân được cứu sáng
VNExpress,Xuất hiện bão gần Biển Đông,"Ngoài khơi Philippines đang xuất hiện cơn bão mạnh cấp 8, tên quốc tế là Nokaen, khả năng không đi vào Biển Đông và không ảnh hưởng đến Việt Nam.",vi,2026-01-16 22:11:03.226523,ngoài khơi philippines đang xuất hiện cơn bão mạnh cấp tên quốc tế là nokaen khả năng không đi vào biển đông và không ảnh hưởng đến việt nam,ngoài khơi philippines đang xuất_hiện cơn bão mạnh cấp tên quốc_tế là nokaen khả_năng không đi vào biển đông và không ảnh_hưởng đến việt_nam
VNExpress,Thêm 7 km đường trục phía Nam Hà Nội chuẩn bị thông xe,"Đường trục phía Nam dài hơn 40 km, chuẩn bị thông xe thêm 7 km, giúp kết nối trung tâm Hà Nội với các xã phía Nam và tỉnh Ninh Bình.",vi,2026-01-16 22:11:03.226551,đường trục phía nam dài hơn km chuẩn bị thông xe thêm km giúp kết nối trung tâm hà nội với các xã phía nam và tỉnh ninh bình,đường trục phía nam dài hơn km chuẩn_bị thông xe thêm km giúp kết_nối trung_tâm hà_nội với các xã phía nam và tỉnh ninh_bình
VNExpress,5 năm an sinh tăng tốc từ nâng lương đến miễn học phí,"Tổng chi an sinh xã hội giai đoạn 2021-2025 vượt 1,1 triệu tỷ đồng, kéo tỷ lệ nghèo đa chiều xuống khoảng 1,3% và mở rộng miễn học phí, hướng tới khám sức khỏe định kỳ miễn phí.",vi,2026-01-16 22:11:03.226576,tổng chi an sinh xã hội giai đoạn vượt triệu tỷ đồng kéo tỷ lệ nghèo đa chiều xuống khoảng và mở rộng miễn học phí hướng tới khám sức khỏe định kỳ miễn phí,tổng chi_an_sinh xã_hội giai_đoạn vượt triệu tỷ đồng kéo tỷ_lệ nghèo đa_chiều xuống khoảng và mở_rộng miễn học_phí hướng tới khám sức khỏe_định_kỳ miễn_phí
VNExpress,Đề xuất hơn 17.000 tỷ đồng xây Tổ hợp công nghiệp đường sắt,"Tổng công ty Đường sắt Việt Nam đề xuất đầu tư 17.286 tỷ đồng xây Tổ hợp công nghiệp đường sắt rộng 250 ha tại Hà Nội, hướng tới tự chủ sản xuất thiết bị, linh kiện cho các dự án mới.",vi,2026-01-16 22:11:03.226624,tổng công ty đường sắt việt nam đề xuất đầu tư tỷ đồng xây tổ hợp công nghiệp đường sắt rộng ha tại hà nội hướng tới tự chủ sản xuất thiết bị linh kiện cho các dự án mới,tổng_công_ty đường_sắt việt_nam đề_xuất đầu_tư tỷ đồng xây tổ_hợp công_nghiệp đường_sắt rộng ha tại hà_nội hướng tới tự_chủ sản_xuất thiết_bị linh_kiện cho các dự_án mới
VNExpress,Cà Mau xem xét dự án dẫn nước thô từ sông Hậu hơn 5.300 tỷ đồng,"Tỉnh Cà Mau xem xét đề xuất dự án dẫn nước thô từ thượng nguồn sông Hậu, tổng vốn hơn 5.300 tỷ đồng, nhằm thay thế dần nguồn nước ngầm đang suy giảm.",vi,2026-01-16 22:11:03.226652,tỉnh cà mau xem xét đề xuất dự án dẫn nước thô từ thượng nguồn sông hậu tổng vốn hơn tỷ đồng nhằm thay thế dần nguồn nước ngầm đang suy giảm,tỉnh cà_mau xem_xét đề_xuất dự_án dẫn nước thô từ thượng_nguồn sông hậu tổng vốn hơn tỷ đồng nhằm thay_thế dần nguồn nước_ngầm đang suy_giảm
VNExpress,Thủ phủ công nghiệp FDI Bắc Ninh khát lao động có tay nghề,"Suốt một tháng nay, bà Nguyễn Phương Thảo, giám đốc nhân sự một doanh nghiệp sản xuất pin ở Bắc Ninh, đôn đáo tìm kiếm 150 lao động kỹ thuật, nhưng chỉ tuyển được 60 người.",vi,2026-01-16 22:11:03.226683,suốt một tháng nay bà nguyễn phương thảo giám đốc nhân sự một doanh nghiệp sản xuất pin ở bắc ninh đôn đáo tìm kiếm lao động kỹ thuật nhưng chỉ tuyển được người,suốt một tháng nay bà nguyễn_phương_thảo giám_đốc nhân_sự một doanh_nghiệp sản_xuất pin ở bắc_ninh đôn_đáo tìm_kiếm lao_động kỹ_thuật nhưng chỉ tuyển được người
