source,title,content,language,collected_at
VNExpress,"Chợ Bến Thành, Hồ Con Rùa sẽ được chỉnh trang trước Tết","Chợ Bến Thành, Hồ Con Rùa, Ngã 6 Phù Đổng và nhiều tuyến đường ở khu vực trung tâm sẽ được sơn mới, chỉnh trang, tạo diện mạo mới trước Tết.",vi,2026-01-17 20:33:01.485797
VNExpress,Đề xuất luật hóa Ngày Văn hóa Việt Nam thành ngày nghỉ lễ,"Cục Việc làm đề xuất bổ sung Ngày Văn hóa Việt Nam 24/11 thành ngày nghỉ lễ khi sửa Bộ luật Lao động, người lao động sẽ được nghỉ hưởng nguyên lương.",vi,2026-01-17 20:33:01.485838
VNExpress,"Tông xe liên hoàn trên cao tốc, một người chết","Nghệ AnCú tông liên hoàn giữa 5 ôtô chạy cùng chiều khiến một người tử vong, cao tốc Nghi Sơn - Diễn Châu ùn tắc hơn 5 tiếng, rạng sáng 17/1.",vi,2026-01-17 20:33:01.485871
VNExpress,"Xe khách lao xuống cống, ba người tử vong","Xe khách 36 chỗ chở 18 người chạy quốc lộ 6 hướng Hà Nội - Sơn La, đến xã Chiềng Hặc lao xuống cống thoát nước, làm ba người chết, một người bị thương.",vi,2026-01-17 20:33:01.485900
VNExpress,"Biển người ở Hà Nội, TP HCM mừng Việt Nam vào bán kết U23 châu Á","Dù trận đấu Việt Nam – UAE kết thúc vào rạng sáng, người dân Hà Nội và TP HCM vẫn mang cờ đỏ sao vàng đổ về trung tâm ăn mừng đội tuyển lần thứ hai vào bán kết U23 châu Á.",vi,2026-01-17 20:33:01.485928
VNExpress,45 ngày chiến dịch Quang Trung thần tốc xây nhà cho dân vùng lũ,"Chiến dịch Quang Trung xây mới nhà bị đổ sập, sửa chữa nhà hư hỏng cho người dân miền Trung bị ảnh hưởng mưa bão đã hoàn thành sau 45 ngày thi công thần tốc.",vi,2026-01-17 20:33:01.485958
VNExpress,"Metro Nhổn - ga Hà Nội áp dụng vé định danh, xác thực điện tử","Từ ngày 1/2, tuyến đường sắt đô thị Nhổn - ga Hà Nội sẽ áp dụng cổng soát vé định danh, xác thực điện tử và nhận diện sinh trắc học.",vi,2026-01-17 20:33:01.485985
VNExpress,Cầu thứ 7 qua sông Trà Khúc sắp thông xe,"Quảng NgãiCầu và đường thuộc Đập dâng sông Trà Khúc dài 1,4 km, dự kiến thông xe trước Tết Bính Ngọ, là công trình đường bộ thứ 7 qua sông.",vi,2026-01-17 20:33:01.486011
VNExpress,Hơn một triệu người TP HCM cần nhà ở xã hội trong 5 năm tới,"Trong một triệu người cần nhà ở xã hội, công nhân chiếm 30%, còn lại cán bộ, công chức, viên chức và tập trung nhiều nhất khu vực TP HCM cũ.",vi,2026-01-17 20:33:01.486059
VNExpress,Ông Trần Sỹ Thanh và nhiều Bộ trưởng được giới thiệu ứng cử đại biểu Quốc hội khóa 16,"Chủ nhiệm Ủy ban Kiểm tra Trung ương Trần Sỹ Thanh và Bộ trưởng Tài chính, Nông nghiệp và Môi trường... được cử tri nơi công tác giới thiệu ứng cử đại biểu Quốc hội khóa 16, với tỷ lệ tán thành tuyệt đối.",vi,2026-01-17 20:33:01.486089
VNExpress,Tăng thời gian bay đêm tại 6 sân bay dịp Tết,"Cục Hàng không Việt Nam vừa điều chỉnh phương án khai thác bay đêm tại 6 sân bay gồm Thọ Xuân, Đồng Hới, Chu Lai, Pleiku, Tuy Hòa và Phù Cát.",vi,2026-01-17 20:33:01.486119
VNExpress,Loạt trụ điện giữa đường mới mở rộng ở nội đô TP HCM,"Đường Chu Văn An (phường Bình Thạnh) mở rộng gấp 4 lần, song không thể thông xe do vướng loạt trụ điện, chủ đầu tư chưa chốt phương án di dời.",vi,2026-01-17 20:33:01.486150
VNExpress,Nhà máy ở Đồng Tháp sẽ thưởng 1.000 chỉ vàng cho công nhân,"1.000 lao động thâm niên làm việc tại Công ty TNHH Dụ Đức Việt Nam, khu công nghiệp Tân Hương (Tiền Giang cũ), được tặng mỗi người một chỉ vàng 18k.",vi,2026-01-17 20:33:01.486177
VNExpress,Hà Nội bắt đầu xử phạt vi phạm trật tự đô thị qua camera AI,"Không chỉ “phạt nguội” trong lĩnh vực trật tự an toàn giao thông, Công an TP Hà Nội mở rộng hệ thống camera AI để xử phạt các hành vi vi phạm trật tự đô thị.",vi,2026-01-17 20:33:01.486206
VNExpress,Thủ tướng: Chiến dịch Quang Trung chiến thắng giòn giã,"Lãnh đạo Chính phủ khẳng định chiến dịch Quang Trung xây mới, sửa nhà cho người dân bị ảnh hưởng bởi thiên tai, đến nay đã chiến thắng giòn giã.",vi,2026-01-17 20:33:01.486253
VNExpress,Ra mắt ứng dụng Tuyên giáo và Dân vận,"Ứng dụng Tuyên giáo và Dân vận trên điện thoại thông minh nhằm tuyên truyền chính sách, chủ trương của Đảng và hỗ trợ chính quyền nắm bắt kịp thời dư luận xã hội.",vi,2026-01-17 20:33:01.486283
VNExpress,"Cháy ở chung cư 5 tầng, hai người được giải cứu","Nghệ AnLửa bùng lên tại phòng ngủ căn hộ tầng 2 chung cư Tân Hợp, phường Trường Vinh, khiến nhiều người tháo chạy, hai nạn nhân được cứu, sáng 16/1.",vi,2026-01-17 20:33:01.486314
VNExpress,Xuất hiện bão gần Biển Đông,"Ngoài khơi Philippines đang xuất hiện cơn bão mạnh cấp 8, tên quốc tế là Nokaen, khả năng không đi vào Biển Đông và không ảnh hưởng đến Việt Nam.",vi,2026-01-17 20:33:01.486342
VNExpress,Thêm 7 km đường trục phía Nam Hà Nội chuẩn bị thông xe,"Đường trục phía Nam dài hơn 40 km, chuẩn bị thông xe thêm 7 km, giúp kết nối trung tâm Hà Nội với các xã phía Nam và tỉnh Ninh Bình.",vi,2026-01-17 20:33:01.486371
VNExpress,5 năm an sinh tăng tốc từ nâng lương đến miễn học phí,"Tổng chi an sinh xã hội giai đoạn 2021-2025 vượt 1,1 triệu tỷ đồng, kéo tỷ lệ nghèo đa chiều xuống khoảng 1,3% và mở rộng miễn học phí, hướng tới khám sức khỏe định kỳ miễn phí.",vi,2026-01-17 20:33:01.486397
VNExpress,Đề xuất hơn 17.000 tỷ đồng xây Tổ hợp công nghiệp đường sắt,"Tổng công ty Đường sắt Việt Nam đề xuất đầu tư 17.286 tỷ đồng xây Tổ hợp công nghiệp đường sắt rộng 250 ha tại Hà Nội, hướng tới tự chủ sản xuất thiết bị, linh kiện cho các dự án mới.",vi,2026-01-17 20:33:01.486438
VNExpress,Cà Mau xem xét dự án dẫn nước thô từ sông Hậu hơn 5.300 tỷ đồng,"Tỉnh Cà Mau xem xét đề xuất dự án dẫn nước thô từ thượng nguồn sông Hậu, tổng vốn hơn 5.300 tỷ đồng, nhằm thay thế dần nguồn nước ngầm đang suy giảm.",vi,2026-01-17 20:33:01.486465
VNExpress,Thủ phủ công nghiệp FDI Bắc Ninh khát lao động có tay nghề,"Suốt một tháng nay, bà Nguyễn Phương Thảo, giám đốc nhân sự một doanh nghiệp sản xuất pin ở Bắc Ninh, đôn đáo tìm kiếm 150 lao động kỹ thuật, nhưng chỉ tuyển được 60 người.",vi,2026-01-17 20:33:01.486491
VNExpress,Hà Nội bàn liên kết Vùng Thủ đô theo mô hình chùm đô thị hướng tâm,"Ban Thường vụ Thành ủy Hà Nội làm việc với các tỉnh, thành phố Vùng Thủ đô về Quy hoạch tổng thể tầm nhìn 100 năm, trong đó xác lập mô hình “chùm đô thị hướng tâm”, chiều 15/1.",vi,2026-01-17 20:33:01.486518
